id,no_cuenta,clabe,razon_social,filial,fecha_inicial,fecha_final,banco,saldo_inicial,saldo_final,nombre_archivo,hash_archivo,saldo_deposito_conciliado,saldo_retiro_conciliado,created_at,updated_at,saldo_correcto,depositos,retiros,saldo,conciliado
10,65511080036,014320655110800363,Aplicativos de negocio SA de CV,Guadalajara,2025-06-04,2025-06-30,SANTANDER,0.0,0.0,06 JUN 13.10 EDO CTA APLICATIVOS TOKU 0036,,0.0,0.0,2025-12-09 16:02:22,2025-12-09 16:02:22,True,,,,
11,65511080036,014320655110800363,Aplicativos de negocio SA de CV,Guadalajara,2025-07-01,2025-07-31,SANTANDER,0.0,0.01,07 JUL 13.10 EDO CTA APLICATIVOS TOKU 0036,,0.0,0.0,2025-12-09 16:02:27,2025-12-09 16:02:27,True,0.01,0.0,0.01,False
12,65511080036,014320655110800363,Aplicativos de negocio SA de CV,Guadalajara,2025-08-01,2025-08-28,SANTANDER,0.01,345088.74,08 AGO EDO CTA 0036 APLICATIVOS TOKU,,0.0,0.0,2025-12-09 16:02:40,2025-12-09 16:02:40,True,345320.72,231.99,2567785.22,False
13,65511080036,014320655110800363,Aplicativos de negocio SA de CV,Guadalajara,2025-09-01,2025-09-30,SANTANDER,345088.74,2881961.29,09 SEP 13.10 EDO CTA APLICATIVOS TOKU 0036,,0.0,0.0,2025-12-09 16:02:45,2025-12-09 16:02:45,True,2536872.55,0.0,64273772.61,False
14,65511080036,014320655110800363,Aplicativos de negocio SA de CV,Guadalajara,2025-10-01,2025-10-31,SANTANDER,2881961.29,6507753.09,10 OCT 11.08 EDO CTA OCT APLICATIVOS TOKU SANTANDER 0036,,0.0,0.0,2025-12-09 16:02:51,2025-12-09 16:02:51,True,5310602.13,1684810.33,401140051.4,False
