move_line_id,move_id,move_name,move_type,move_state,invoice_date,account_id,partner_id,product_id,debit,credit,quantity,price_unit,create_date,write_date,load_date
139403601,69425633,MANTENIMIENTOS FOSA/2024/5/9005,out_invoice,cancel,2026-01-25,1602,1649705,600,0.0,1.0,-600.0,,2024-05-12 01:28:29,2024-05-16 23:17:22.537,2026-02-10 17:54:42.220
139403602,69425633,MANTENIMIENTOS FOSA/2024/5/9005,out_invoice,cancel,2026-01-25,1604,1649705,0,600.0,1.0,600.0,1792.0,2024-05-12 01:28:29,2024-05-16 23:17:22.537,2026-02-10 17:54:42.220
139411647,69429656,MANTENIMIENTOS FOSA/2024/5/9005,out_invoice,cancel,2025-12-05,1602,1648231,600,0.0,1.0,-600.0,,2024-05-12 01:41:46,2024-05-16 23:17:22.537,2026-02-10 17:50:47.347
139411648,69429656,MANTENIMIENTOS FOSA/2024/5/9005,out_invoice,cancel,2025-12-05,1604,1648231,0,600.0,1.0,600.0,1792.0,2024-05-12 01:41:46,2024-05-16 23:17:22.537,2026-02-10 17:50:47.347
139412173,69429919,MANTENIMIENTOS FOSA/2024/5/9005,out_invoice,cancel,2025-12-26,1602,1651073,600,0.0,1.0,-600.0,,2024-05-12 01:41:53,2024-05-16 23:17:22.537,2026-02-10 17:50:47.347
